 ticker       |         listed_at
 ATOM-20191227     | 2019-11-12 02:26:16.674723
 SHIT-20191227     | 2019-09-08 05:04:27.115566
 BTC-0327          | 2019-09-14 21:05:02.521573
 ALGO-PERP         | 2019-06-23 02:03:53.016805
 EOS-20191227      | 2019-09-08 10:45:31.131802
 ALGO-20190628     | 2019-06-23 02:06:37.809862
 OKB-0327          | 2019-12-10 08:44:46.990807
 DRGN-PERP         | 2019-10-29 03:28:46.956643
 LINK-20191227     | 2019-10-15 11:39:16.749391
 TRX-20191227      | 2019-09-11 02:00:05.32488
 XRP-0327          | 2019-12-11 13:43:43.08289
 MATIC-20191227    | 2019-10-23 03:34:00.807447
 HT-0327           | 2019-12-10 07:59:02.505633
 ETH-20190927      | 2019-06-09 03:28:11.322535
 SHIT-0327         | 2019-12-10 01:17:33.896397
 XTZ-PERP          | 2019-11-29 11:03:51.633291
 SHIT-PERP         | 2019-07-23 06:54:02.907204
 ETC-0327          | 2019-12-10 00:02:55.279594
 TRYB-20191227     | 2019-12-16 19:18:15.606255
 ALGO-20191227     | 2019-09-08 21:15:19.829203
 TOMO-20191227     | 2019-11-07 14:49:30.621835
 LINK-0327         | 2019-12-10 04:35:33.141874
 BSV-20191227      | 2019-09-09 09:52:44.986532
 USDT-20191227     | 2019-09-09 07:00:35.009752
 XRP-20190628      | 2019-03-10 14:01:32.83977
 ETC-20190927      | 2019-09-03 06:06:39.510182
 MATIC-0327        | 2019-12-09 19:34:05.425894
 BTC-PERP          | 2019-03-05 12:26:49.487536
 LTC-PERP          | 2019-06-30 04:58:32.632296
 XRP-PERP          | 2019-03-10 13:58:50.01275
 TRX-0327          | 2019-12-10 08:24:14.376899
 ADA-0327          | 2019-12-12 17:50:34.539095
 XTZ-20191227      | 2019-11-29 11:23:13.368627
 USDT-20190329     | 2019-03-10 17:08:02.757192
 EOS-20190329      | 2019-03-10 14:49:28.961523
 LEO-20190628      | 2019-06-09 07:36:56.558726
 ETH-20190628      | 2019-03-05 12:12:25.158597
